title,link,special_price,normal_price,User-Agent
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-black-p-21087.html,$60.20,$101.53 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-ss-p-21094.html,$48.84,$81.21 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-ss-p-21090.html,$60.20,$101.53 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
1300mAh Rechargeable Battery for E-Cigarette,https://www.cigabuy.com/1300mah-rechargeable-battery-for-e-cigarette-p-1064.html,$2.72,$3.41 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Demon Killer Muscle Cotton by Wick N Vape,https://www.cigabuy.com/authentic-demon-killer-muscle-cotton-by-wick-n-vape-p-9848.html,$1.09,$5.18 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Demon Killer Multi-Function Cutter Pliers for E-Ciga,https://www.cigabuy.com/authentic-demon-killer-multi-function-cutter-pliers-for-e-ciga-p-10437.html,$2.72,$3.41 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
60pcs Demon Killer Slacker Cotton for RTA Building,https://www.cigabuy.com/60pcs-demon-killer-slacker-cotton-for-rta-building-p-13049.html,$1.79,$2.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic VGOD Pro 200W TC Starter Kit - Red,https://www.cigabuy.com/authentic-vgod-pro-200w-tc-starter-kit-red-p-13197.html,$32.68,$91.71 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Caliburn Pod System 520mAh Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-pod-system-520mah-kit-black-p-14097.html,$11.98,$32.63 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Caliburn Pod System 520mAh Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-pod-system-520mah-kit-grey-p-14099.html,$11.98,$32.63 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
10 x SHOELACE Vape Cotton for RBA Atomizer DIY Building,https://www.cigabuy.com/10-x-shoelace-vape-cotton-for-rba-atomizer-diy-building-p-14573.html,$0.81,$1.14 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Black,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-black-p-15494.html,$15.25,$66.28 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
3 x Authentic Smoant Battlestar Baby Mesh Coil 0.6ohm,https://www.cigabuy.com/3-x-authentic-smoant-battlestar-baby-mesh-coil-06ohm-p-16267.html,$3.27,$4.54 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
5 x Authentic VandyVape Vape Cotton,https://www.cigabuy.com/5-x-authentic-vandyvape-vape-cotton-p-16384.html,$0.11,$1.14 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
2.5 Feet Authentic VandyVape Vape Cotton Loops,https://www.cigabuy.com/25-feet-authentic-vandyvape-vape-cotton-loops-p-16386.html,$0.98,$1.14 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
5 x Authentic VOOPOO PnP-VM3 Single Mesh Coil 0.45ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm3-single-mesh-coil-045ohm-p-18288.html,$7.62,$7.95 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
1 x Authentic Wotofo H17 Rebuildable Deck Coil - Black,https://www.cigabuy.com/1-x-authentic-wotofo-h17-rebuildable-deck-coil-black-p-19872.html,$2.18,$6.81 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
